Parameter,Cal Stats,ReCal Stats,Diff Stats
Frequency,"{'mean': '215173.30', 'median': '204128.50', 'sd': '23817.15', 'iqr': '41692.25'}","{'mean': '218465.58', 'median': '218843.50', 'sd': '20465.47', 'iqr': '33844.50'}","{'mean': '-3292.28', 'median': '-14715.00', 'sd': '3351.67', 'iqr': '7847.75'}"
Gain,"{'mean': '26.10', 'median': '26.00', 'sd': '2.66', 'iqr': '3.91'}","{'mean': '25.98', 'median': '25.72', 'sd': '2.73', 'iqr': '3.80'}","{'mean': '0.12', 'median': '0.29', 'sd': '-0.07', 'iqr': '0.10'}"
SaCorrection,"{'mean': '0.0000', 'median': '0.0000', 'sd': '0.0000', 'iqr': '0.0000'}","{'mean': '0.0000', 'median': '0.0000', 'sd': '0.0000', 'iqr': '0.0000'}","{'mean': '0.0000', 'median': '0.0000', 'sd': '0.0000', 'iqr': '0.0000'}"
BeamWidthAlongship,"{'mean': '6.33', 'median': '6.63', 'sd': '0.67', 'iqr': '1.11'}","{'mean': '6.27', 'median': '6.26', 'sd': '0.61', 'iqr': '0.99'}","{'mean': '0.06', 'median': '0.38', 'sd': '0.06', 'iqr': '0.12'}"
BeamWidthAthwartship,"{'mean': '6.33', 'median': '6.70', 'sd': '0.70', 'iqr': '1.29'}","{'mean': '6.24', 'median': '6.18', 'sd': '0.68', 'iqr': '1.30'}","{'mean': '0.09', 'median': '0.52', 'sd': '0.02', 'iqr': '-0.01'}"
AngleOffsetAlongship,"{'mean': '-0.09', 'median': '-0.06', 'sd': '0.16', 'iqr': '0.20'}","{'mean': '-0.04', 'median': '-0.06', 'sd': '0.18', 'iqr': '0.14'}","{'mean': '-0.05', 'median': '0.00', 'sd': '-0.02', 'iqr': '0.06'}"
AngleOffsetAthwartship,"{'mean': '-0.03', 'median': '-0.03', 'sd': '0.04', 'iqr': '0.06'}","{'mean': '-0.01', 'median': '-0.01', 'sd': '0.05', 'iqr': '0.07'}","{'mean': '-0.02', 'median': '-0.02', 'sd': '-0.01', 'iqr': '-0.01'}"
TsRmsError,"{'mean': '0.1292', 'median': '0.1116', 'sd': '0.0599', 'iqr': '0.0735'}","{'mean': '0.2121', 'median': '0.1752', 'sd': '0.1179', 'iqr': '0.1450'}","{'mean': '-0.0829', 'median': '-0.0636', 'sd': '-0.0580', 'iqr': '-0.0715'}"
Impedance,"{'mean': '75.00', 'median': '75.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '75.00', 'median': '75.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}"
Phase,"{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}","{'mean': '0.00', 'median': '0.00', 'sd': '0.00', 'iqr': '0.00'}"
